IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
64.110.88.200,8443,80,false,ICN,Asia Pacific,Seoul,99,0.51
58.76.168.123,33908,443,true,ICN,Asia Pacific,Seoul,97,0.46
111.118.49.163,10903,443,true,ICN,Asia Pacific,Seoul,98,0.43
58.76.168.123,14473,443,true,ICN,Asia Pacific,Seoul,94,0.43
45.93.30.117,39145,443,true,ICN,Asia Pacific,Seoul,93,0.40
59.187.242.236,13322,443,true,ICN,Asia Pacific,Seoul,119,0.39
45.154.15.101,80,80,false,ICN,Asia Pacific,Seoul,94,0.35
59.187.242.236,10653,443,true,ICN,Asia Pacific,Seoul,145,0.31
193.122.125.174,2053,443,true,NRT,Asia Pacific,Tokyo,97,0.30
39.126.15.253,30076,443,true,ICN,Asia Pacific,Seoul,260,0.27
154.40.62.69,52797,443,true,ICN,Asia Pacific,Seoul,96,0.25
39.126.44.144,38912,443,true,ICN,Asia Pacific,Seoul,311,0.24
39.126.44.144,30051,443,true,ICN,Asia Pacific,Seoul,312,0.23
146.56.151.87,2087,2096,true,HKG,Asia Pacific,Hong Kong,94,0.22
1.222.197.198,30050,443,true,ICN,Asia Pacific,Seoul,312,0.21
59.187.242.236,11215,443,true,ICN,Asia Pacific,Seoul,145,0.14
146.56.162.25,80,80,false,ICN,Asia Pacific,Seoul,53,0.13
59.187.242.236,25559,443,true,ICN,Asia Pacific,Seoul,145,0.12
39.126.44.144,24827,443,true,ICN,Asia Pacific,Seoul,312,0.10
144.24.85.158,80,80,false,ICN,Asia Pacific,Seoul,165,0.09
1.222.197.198,30063,443,true,ICN,Asia Pacific,Seoul,262,0.05
45.93.28.81,17975,443,true,ICN,Asia Pacific,Seoul,94,0.02
58.140.88.28,30061,443,true,ICN,Asia Pacific,Seoul,98,0.00
58.76.168.123,20623,443,true,ICN,Asia Pacific,Seoul,101,0.00
1.222.197.198,13874,443,true,ICN,Asia Pacific,Seoul,304,0.00
45.93.30.45,34237,2096,true,ICN,Asia Pacific,Seoul,76,0.00
58.76.168.123,11488,443,true,ICN,Asia Pacific,Seoul,91,0.00
140.238.13.96,443,443,true,ICN,Asia Pacific,Seoul,99,0.00
