IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.179.188.175,2086,2086,false,NRT,Asia Pacific,Tokyo,197,0.55
131.186.62.26,2095,2095,false,HKG,Asia Pacific,Hong Kong,277,0.54
158.101.144.189,2082,2082,false,NRT,Asia Pacific,Tokyo,196,0.53
131.186.35.189,2053,2053,true,NRT,Asia Pacific,Tokyo,165,0.53
168.138.202.169,2082,2082,false,NRT,Asia Pacific,Tokyo,172,0.53
158.101.144.189,8880,8880,false,NRT,Asia Pacific,Tokyo,175,0.53
150.230.213.95,2083,2083,true,HKG,Asia Pacific,Hong Kong,226,0.52
103.117.102.7,38889,443,true,HKG,Asia Pacific,Hong Kong,219,0.52
131.186.37.69,2087,2087,true,NRT,Asia Pacific,Tokyo,120,0.52
147.78.245.145,34237,2096,true,NRT,Asia Pacific,Tokyo,204,0.51
154.197.92.83,5010,443,true,HKG,Asia Pacific,Hong Kong,127,0.51
132.145.127.21,2086,2086,false,NRT,Asia Pacific,Tokyo,175,0.50
168.138.209.244,2095,2095,false,NRT,Asia Pacific,Tokyo,195,0.48
138.3.223.70,2086,2086,false,NRT,Asia Pacific,Tokyo,165,0.48
132.145.123.159,2096,2096,true,NRT,Asia Pacific,Tokyo,176,0.45
132.145.114.250,8880,8880,false,NRT,Asia Pacific,Tokyo,166,0.45
138.2.25.122,2096,2096,true,NRT,Asia Pacific,Tokyo,106,0.45
150.230.204.117,8880,8880,false,NRT,Asia Pacific,Tokyo,106,0.45
140.238.50.99,2095,2095,false,NRT,Asia Pacific,Tokyo,194,0.44
131.186.37.69,2082,2082,false,NRT,Asia Pacific,Tokyo,177,0.43
151.145.75.28,2095,2095,false,NRT,Asia Pacific,Tokyo,164,0.42
158.179.178.145,8443,8443,true,NRT,Asia Pacific,Tokyo,176,0.42
131.186.35.189,2095,2095,false,NRT,Asia Pacific,Tokyo,133,0.40
140.238.61.224,8080,8080,false,NRT,Asia Pacific,Tokyo,171,0.40
132.145.91.171,8443,443,true,ICN,Asia Pacific,Seoul,105,0.40
131.186.35.189,8080,8080,false,NRT,Asia Pacific,Tokyo,194,0.40
168.138.209.244,2086,2086,false,NRT,Asia Pacific,Tokyo,190,0.39
168.138.194.121,2086,2086,false,HKG,Asia Pacific,Hong Kong,234,0.39
131.186.37.191,2086,2086,false,HKG,Asia Pacific,Hong Kong,297,0.39
193.123.235.59,443,443,true,HKG,Asia Pacific,Hong Kong,104,0.39
131.186.41.82,8080,8080,false,NRT,Asia Pacific,Tokyo,201,0.39
151.145.75.28,2082,2082,false,NRT,Asia Pacific,Tokyo,176,0.38
131.186.41.82,2086,2086,false,NRT,Asia Pacific,Tokyo,169,0.38
141.147.182.70,2086,2086,false,NRT,Asia Pacific,Tokyo,163,0.37
158.179.189.235,8443,8443,true,NRT,Asia Pacific,Tokyo,122,0.37
131.186.35.189,8880,8880,false,NRT,Asia Pacific,Tokyo,106,0.36
158.101.131.218,8443,8443,true,HKG,Asia Pacific,Hong Kong,207,0.36
154.197.92.70,5010,443,true,HKG,Asia Pacific,Hong Kong,106,0.36
154.197.92.86,5010,443,true,HKG,Asia Pacific,Hong Kong,178,0.35
140.83.37.145,8443,8443,true,HKG,Asia Pacific,Hong Kong,304,0.35
131.186.35.189,2096,2096,true,NRT,Asia Pacific,Tokyo,148,0.34
155.248.176.98,2082,2082,false,HKG,Asia Pacific,Hong Kong,227,0.34
141.147.179.64,2052,2052,false,NRT,Asia Pacific,Tokyo,106,0.34
155.248.182.244,8880,8880,false,HKG,Asia Pacific,Hong Kong,214,0.33
168.138.212.184,2053,2053,true,NRT,Asia Pacific,Tokyo,170,0.33
131.186.41.82,2095,2095,false,NRT,Asia Pacific,Tokyo,125,0.33
154.197.92.75,5010,443,true,HKG,Asia Pacific,Hong Kong,130,0.33
158.179.183.2,8080,8080,false,HKG,Asia Pacific,Hong Kong,268,0.32
132.145.125.165,2096,2096,true,NRT,Asia Pacific,Tokyo,192,0.31
150.230.202.232,2052,2052,false,NRT,Asia Pacific,Tokyo,190,0.31
132.145.122.95,2082,2082,false,NRT,Asia Pacific,Tokyo,176,0.30
158.179.178.142,80,80,false,NRT,Asia Pacific,Tokyo,174,0.29
141.147.168.159,8880,8880,false,HKG,Asia Pacific,Hong Kong,344,0.28
168.138.215.188,2095,2095,false,NRT,Asia Pacific,Tokyo,175,0.28
138.3.208.9,80,80,false,HKG,Asia Pacific,Hong Kong,297,0.28
150.230.208.83,80,80,false,KIX,Asia Pacific,Osaka,174,0.27
140.238.61.224,2083,2083,true,NRT,Asia Pacific,Tokyo,213,0.27
168.138.215.188,80,80,false,NRT,Asia Pacific,Tokyo,165,0.27
154.197.92.105,5010,443,true,HKG,Asia Pacific,Hong Kong,167,0.27
140.238.59.255,2052,2052,false,KIX,Asia Pacific,Osaka,141,0.26
131.186.34.11,8443,8443,true,NRT,Asia Pacific,Tokyo,136,0.26
158.179.186.138,8080,8080,false,HKG,Asia Pacific,Hong Kong,254,0.26
158.179.189.106,2082,2082,false,NRT,Asia Pacific,Tokyo,123,0.25
158.101.144.189,2095,2095,false,NRT,Asia Pacific,Tokyo,106,0.24
140.238.44.118,2086,2086,false,HKG,Asia Pacific,Hong Kong,209,0.24
131.186.37.69,2053,2053,true,NRT,Asia Pacific,Tokyo,170,0.23
131.186.43.107,2082,2082,false,HKG,Asia Pacific,Hong Kong,226,0.23
141.147.179.64,2095,2095,false,NRT,Asia Pacific,Tokyo,170,0.23
141.147.182.70,8880,8880,false,NRT,Asia Pacific,Tokyo,191,0.23
158.179.178.145,2096,2096,true,NRT,Asia Pacific,Tokyo,193,0.22
168.138.195.31,8880,8880,false,HKG,Asia Pacific,Hong Kong,317,0.22
